"age","estimate","ci_low","ci_high","ethnicity","measure","outcome"
"30-44",21.1053958716496,11.2665660237771,30.2242522435602,"African","SII","poor GH"
"45-59",28.3574881644535,-10.4625527912001,68.2768131401109,"African","SII","poor GH"
"60-74",171.704395904519,72.8571085637086,265.054857086392,"African","SII","poor GH"
"75",16.1822941624403,-322.045812511253,398.684068574422,"African","SII","poor GH"
"0-64",14.3055591647485,1.7455051233546,28.1333694390533,"African","SII","poor GH"
"all",52.8084788205397,10.0672627251208,98.6609258076509,"African","SII","poor GH"
"0-14",3.12499108216865,-4.14464126521158,9.60143973098554,"Indian","SII","poor GH"
"15-29",1.75285436031728,-2.23945603692588,5.57857421340677,"Indian","SII","poor GH"
"30-44",12.6678363638471,2.68036605457348,22.9066381862059,"Indian","SII","poor GH"
"45-59",119.445792456504,83.9945776112739,153.731510976561,"Indian","SII","poor GH"
"60-74",116.505361180001,56.0212331632917,180.626694076021,"Indian","SII","poor GH"
"75",-28.3590109348574,-160.228154603839,105.115826598563,"Indian","SII","poor GH"
"0-64",39.3993896769021,28.7725682444159,50.785942722204,"Indian","SII","poor GH"
"all",41.7587862609811,23.3378232888825,59.6694423948136,"Indian","SII","poor GH"
"0-14",11.6093138366517,5.09662488321896,18.1222067450188,"Other Asian","SII","poor GH"
"15-29",3.50284045013305,-1.88442104426279,9.52359123388461,"Other Asian","SII","poor GH"
"30-44",38.1650075488286,27.0959804986996,49.0528383942737,"Other Asian","SII","poor GH"
"45-59",55.1827411500533,19.9979125040929,88.9138294801734,"Other Asian","SII","poor GH"
"60-74",96.6511270816327,-1.04835781001861,201.976838346539,"Other Asian","SII","poor GH"
"75",203.968093630097,-20.620453907079,436.778279029072,"Other Asian","SII","poor GH"
"0-64",32.276744450878,19.3945189879214,43.9633217719145,"Other Asian","SII","poor GH"
"all",56.8442409680733,27.3162383150013,86.7117811505651,"Other Asian","SII","poor GH"
"0-14",1.34263088953823,-3.96705203639983,6.75468117895328,"Pakistani","SII","poor GH"
"15-29",7.77083276847361,2.13356099173838,13.6337643450005,"Pakistani","SII","poor GH"
"30-44",51.4769323079803,38.4390962005965,63.9519958214616,"Pakistani","SII","poor GH"
"45-59",144.550766030814,110.629502449279,176.652530403408,"Pakistani","SII","poor GH"
"60-74",149.884903372787,78.0598019194021,214.463790576345,"Pakistani","SII","poor GH"
"75",-29.5983460894257,-176.828826730098,124.030608929292,"Pakistani","SII","poor GH"
"0-64",76.3236970214134,62.7657196053511,88.7789787481573,"Pakistani","SII","poor GH"
"all",64.1558915275112,44.9831093378849,83.7625066851429,"Pakistani","SII","poor GH"
"0-14",5.80319570689182,2.48568655216457,9.18397543927926,"Asian (total)","SII","poor GH"
"15-29",5.38787937702674,3.05936945841758,7.97245045914677,"Asian (total)","SII","poor GH"
"30-44",36.2421343787117,30.4032592146243,42.4097596562033,"Asian (total)","SII","poor GH"
"45-59",103.151137005363,85.8381325994704,118.837820762861,"Asian (total)","SII","poor GH"
"60-74",112.592358430194,78.720626593034,148.280145672911,"Asian (total)","SII","poor GH"
"75",10.4391008038573,-71.1917024153873,83.5709474889813,"Asian (total)","SII","poor GH"
"0-64",50.1660645655731,43.6604885587834,56.0893853257549,"Asian (total)","SII","poor GH"
"all",49.1691912217271,39.4765476450023,58.8246804777265,"Asian (total)","SII","poor GH"
"0-14",12.3033255656382,9.5053170296281,14.9614224125389,"White Irish","SII","poor GH"
"15-29",11.1378964442092,5.30092889056822,17.2074797837952,"White Irish","SII","poor GH"
"30-44",59.2429222844317,49.3760013755547,69.2726408928246,"White Irish","SII","poor GH"
"45-59",153.123115520393,135.80633881985,168.913028124567,"White Irish","SII","poor GH"
"60-74",154.927188367529,133.107141483129,176.526421777468,"White Irish","SII","poor GH"
"75",135.585776690959,94.0918648028306,180.111946604846,"White Irish","SII","poor GH"
"0-64",68.9988937682474,63.4251239379325,74.9498360696697,"White Irish","SII","poor GH"
"all",84.9376563605089,78.6406889844905,91.2589917367139,"White Irish","SII","poor GH"
"0-14",7.30709930174688,5.27515839679567,9.21094905845345,"White British","SII","poor GH"
"15-29",14.1899164091627,11.4512686308283,16.7984034407239,"White British","SII","poor GH"
"30-44",59.5394101309051,55.6784145515557,63.6860526576945,"White British","SII","poor GH"
"45-59",119.581003567318,113.695158773958,125.197930357339,"White British","SII","poor GH"
"60-74",138.434195444397,130.93899511624,146.659917938653,"White British","SII","poor GH"
"75",121.599416360071,104.282636128617,138.330904133558,"White British","SII","poor GH"
"0-64",61.8248502714913,59.6290742100988,64.1424002634994,"White British","SII","poor GH"
"all",75.8121531622931,73.2777265486134,78.4092582229623,"White British","SII","poor GH"
"0-14",2.9925281577628,-0.0961722806828891,2.9925281577628,"Caribbean","SII","poor GH"
"15-29",10.8970233192146,-9.22284138476267,29.7050775191029,"Caribbean","SII","poor GH"
"30-44",48.9261132866556,21.4951381840553,75.1448472349489,"Caribbean","SII","poor GH"
"45-59",80.4013097653419,15.8430374981797,149.487150306225,"Caribbean","SII","poor GH"
"60-74",146.189755106612,-3.43343311938085,290.415739884908,"Caribbean","SII","poor GH"
"75",165.814260330442,-114.906190798764,410.008138133995,"Caribbean","SII","poor GH"
"0-64",45.47869338251,19.0540123424631,70.8698931259071,"Caribbean","SII","poor GH"
"all",76.2261323363863,33.5326618024835,114.093366230732,"Caribbean","SII","poor GH"
"0-14",0.860457625233188,-2.8799188179544,4.62775959012577,"Other White","SII","poor GH"
"15-29",9.32616994783778,6.47205366277243,12.2164010071151,"Other White","SII","poor GH"
"30-44",35.7828412057989,29.9455857005371,41.5473321764526,"Other White","SII","poor GH"
"45-59",111.484007920602,96.5965883126887,125.509524126994,"Other White","SII","poor GH"
"60-74",166.861504222669,140.108886051349,193.859165022646,"Other White","SII","poor GH"
"75",120.68042881142,60.7429396433164,178.372285542753,"Other White","SII","poor GH"
"0-64",50.8097676494218,45.4126353376881,56.1345178094106,"Other White","SII","poor GH"
"all",69.9847148140241,61.9340424642594,77.7654879367752,"Other White","SII","poor GH"
"0-14",0.249625627134398,-4.04152975164979,4.51843726224059,"White Polish","SII","poor GH"
"15-29",0.704206097828862,-4.48803737630656,5.2262674771719,"White Polish","SII","poor GH"
"30-44",10.0367974055152,1.38181441900148,18.1384985150627,"White Polish","SII","poor GH"
"45-59",35.690033741217,13.4032710280379,57.6496409163941,"White Polish","SII","poor GH"
"60-74",134.844568269701,49.3480671383431,217.7893704031,"White Polish","SII","poor GH"
"75",-13.9634609227653,-201.03394296469,163.51717549007,"White Polish","SII","poor GH"
"0-64",17.3040719698372,7.8628352518894,26.6652553998482,"White Polish","SII","poor GH"
"all",28.970440160609,6.63180841856825,51.3349236054098,"White Polish","SII","poor GH"
"0-14",5.50419982917789,5.0290395128467,6.03645784238411,"White Scottish","SII","poor GH"
"15-29",15.3196023913366,14.4831704408585,16.1100578216038,"White Scottish","SII","poor GH"
"30-44",76.5417689986606,75.2258315752776,77.9852597839682,"White Scottish","SII","poor GH"
"45-59",166.01990209234,164.214553045848,167.770481330329,"White Scottish","SII","poor GH"
"60-74",191.699657250414,189.211422700415,194.353498392935,"White Scottish","SII","poor GH"
"75",153.544611292043,148.59191889519,158.361675264639,"White Scottish","SII","poor GH"
"0-64",82.2988339506282,81.6412817188901,83.0096341268386,"White Scottish","SII","poor GH"
"all",99.8135345015641,99.0526227261362,100.634416516199,"White Scottish","SII","poor GH"
"0-14",5.58556370022992,5.10883921935368,6.03127064384479,"White (total)","SII","poor GH"
"15-29",14.6858002215395,13.9426647569086,15.4601072367583,"White (total)","SII","poor GH"
"30-44",73.203810278629,72.0779821921873,74.3465902396462,"White (total)","SII","poor GH"
"45-59",162.156473252157,160.501171709116,163.841002975284,"White (total)","SII","poor GH"
"60-74",189.088071595266,186.755102017091,191.495533122777,"White (total)","SII","poor GH"
"75",151.542909011289,147.005933936599,156.072544332834,"White (total)","SII","poor GH"
"0-64",80.1616228443824,79.5214320314107,80.7775117209323,"White (total)","SII","poor GH"
"all",97.7532388296944,97.0345830766299,98.4475107018787,"White (total)","SII","poor GH"
"0-14",15.9601645836004,10.774637006015,19.5204160347764,"Chinese","SII","poor GH"
"15-29",6.31545062268248,2.45351417936917,10.0127221292169,"Chinese","SII","poor GH"
"30-44",31.9403325994752,22.8660119565318,40.4528829289114,"Chinese","SII","poor GH"
"45-59",42.278244953887,19.7908256164017,65.059003782592,"Chinese","SII","poor GH"
"60-74",60.952100450293,-7.13222036194576,125.136753961123,"Chinese","SII","poor GH"
"75",15.6139391177872,-119.06223043676,156.182561137083,"Chinese","SII","poor GH"
"0-64",29.0380143882462,19.7404811307211,38.0496828277773,"Chinese","SII","poor GH"
"all",30.2569608268804,13.3599514369047,46.9402268288239,"Chinese","SII","poor GH"
"0-14",4.56968609784084,0.933834789021646,8.17549996926508,"Mixed","SII","poor GH"
"15-29",4.77463208644508,-3.67462958422504,12.8015530651853,"Mixed","SII","poor GH"
"30-44",54.1380490552235,25.6155251424684,81.8810268096488,"Mixed","SII","poor GH"
"45-59",121.641670645696,64.8846126876888,176.236102807328,"Mixed","SII","poor GH"
"60-74",219.351634063569,94.3897327627601,349.705651604751,"Mixed","SII","poor GH"
"75",-35.0826902888494,-250.833675728817,166.117638088286,"Mixed","SII","poor GH"
"0-64",67.2798795597613,48.7883704321238,90.3834505941094,"Mixed","SII","poor GH"
"all",68.8221766069667,36.5901837493468,100.491275290543,"Mixed","SII","poor GH"
"0-14",4.74220989608308,-7.54402275788051,16.9156036883179,"Other","SII","poor GH"
"15-29",14.0250276877559,2.47952959129884,24.0762598074495,"Other","SII","poor GH"
"30-44",43.8227175974539,23.7680338691,62.3859577292969,"Other","SII","poor GH"
"45-59",149.208311992207,104.688843377874,196.19065591572,"Other","SII","poor GH"
"60-74",238.528543575701,129.124681704129,338.349607289327,"Other","SII","poor GH"
"75",-25.5789863957898,-276.095104765086,232.090335177034,"Other","SII","poor GH"
"0-64",75.3882522502474,59.1143474329632,91.1811595073838,"Other","SII","poor GH"
"all",82.5168753873712,52.3635930601694,112.633462805153,"Other","SII","poor GH"
"0-14",0.52883153085332,0.0615508223903062,1.02258020389667,"African","RII","LLTI"
"15-29",0.186597357994321,-0.324301715581066,0.63141198949247,"African","RII","LLTI"
"30-44",0.838853425047884,0.570082728934139,1.11772955399862,"African","RII","LLTI"
"45-59",0.558546794193918,0.113290969030852,0.990805232504634,"African","RII","LLTI"
"60-74",0.778367221976038,0.234823932256775,1.30801776137387,"African","RII","LLTI"
"75",0.340564873449556,-0.487113914117835,1.2170503625438,"African","RII","LLTI"
"0-64",0.695639576368078,0.421004251282305,0.969887737159059,"African","RII","LLTI"
"all",0.581914664780003,0.19918795105655,0.96388323589404,"African","RII","LLTI"
"0-14",0.333717530309691,-0.233625744927386,0.947265590043754,"Indian","RII","LLTI"
"15-29",-0.0727361961828694,-0.557432382550052,0.374680116075809,"Indian","RII","LLTI"
"30-44",0.259266697081949,-0.0869448506177041,0.588195359815633,"Indian","RII","LLTI"
"45-59",0.999001155766518,0.721553881492798,1.28466716985011,"Indian","RII","LLTI"
"60-74",0.514063717505538,0.217393570548849,0.805959265629828,"Indian","RII","LLTI"
"75",0.160578592142734,-0.223432885648795,0.537805342960925,"Indian","RII","LLTI"
"0-64",0.677347561088107,0.497086477056208,0.888050966449315,"Indian","RII","LLTI"
"all",0.441910516574897,0.261331592256425,0.61436639047282,"Indian","RII","LLTI"
"0-14",0.533311639299186,-0.028958167681998,1.10987544325483,"Other Asian","RII","LLTI"
"15-29",0.325640428780773,-0.0878511715754806,0.773014561219476,"Other Asian","RII","LLTI"
"30-44",0.985324019750671,0.634770613875533,1.30650994235468,"Other Asian","RII","LLTI"
"45-59",0.875634876451292,0.527115788518345,1.21617142017457,"Other Asian","RII","LLTI"
"60-74",0.54461804784815,0.0772044976454759,1.01866036810172,"Other Asian","RII","LLTI"
"75",-0.0268750855401006,-0.713487021229163,0.696738322742091,"Other Asian","RII","LLTI"
"0-64",0.621953728848597,0.398664819331416,0.847621521698053,"Other Asian","RII","LLTI"
"all",0.454530531210218,0.163212919081675,0.732224560209484,"Other Asian","RII","LLTI"
"0-14",0.166626731401262,-0.108837926039759,0.445200163092234,"Pakistani","RII","LLTI"
"15-29",0.229781252488357,-0.00400748056335301,0.469638001022136,"Pakistani","RII","LLTI"
"30-44",0.63114607589239,0.460260595949453,0.808851926978517,"Pakistani","RII","LLTI"
"45-59",0.650735453479425,0.49066424771275,0.814060793911591,"Pakistani","RII","LLTI"
"60-74",0.225298534167815,0.0445948247580141,0.417501243282921,"Pakistani","RII","LLTI"
"75",-0.169106451703213,-0.467771225315475,0.122355740855213,"Pakistani","RII","LLTI"
"0-64",0.541954490599397,0.435177689786567,0.654974066172581,"Pakistani","RII","LLTI"
"all",0.276539134608716,0.171943557010994,0.381111301051844,"Pakistani","RII","LLTI"
"0-14",0.300962744651486,0.0829558348309542,0.530149915114915,"Asian (total)","RII","LLTI"
"15-29",0.292289986688719,0.115505525123903,0.459734662739012,"Asian (total)","RII","LLTI"
"30-44",0.720531064204155,0.585139921034714,0.854822964502967,"Asian (total)","RII","LLTI"
"45-59",0.749677231891583,0.633518614962235,0.870755080524927,"Asian (total)","RII","LLTI"
"60-74",0.358270859193488,0.21235946781978,0.483829471729966,"Asian (total)","RII","LLTI"
"75",0.0250805510439859,-0.156774867527725,0.211111224240555,"Asian (total)","RII","LLTI"
"0-64",0.613153555030391,0.523551534921723,0.695800967505323,"Asian (total)","RII","LLTI"
"all",0.363908874118136,0.290457918966,0.443270431899557,"Asian (total)","RII","LLTI"
"0-14",0.664998921526336,0.0904635363063752,1.25848008185213,"White Irish","RII","LLTI"
"15-29",1.21270672116674,0.869380373804098,1.52807361043228,"White Irish","RII","LLTI"
"30-44",1.76233645048946,1.54426847253372,1.97315464202522,"White Irish","RII","LLTI"
"45-59",1.44869705472564,1.289650247849,1.5947565370459,"White Irish","RII","LLTI"
"60-74",0.791777735333714,0.680864270699915,0.902262834583207,"White Irish","RII","LLTI"
"75",0.229104704426565,0.113025218935846,0.346539901196375,"White Irish","RII","LLTI"
"0-64",1.30966674467978,1.20483082950097,1.41202670101749,"White Irish","RII","LLTI"
"all",0.837963351125907,0.768999240429019,0.900525935384329,"White Irish","RII","LLTI"
"0-14",1.14801097929996,0.983789611134304,1.32240307426704,"White British","RII","LLTI"
"15-29",0.879444332793664,0.779073150993115,0.982705063715247,"White British","RII","LLTI"
"30-44",1.60966112550633,1.53091529502643,1.69631045110306,"White British","RII","LLTI"
"45-59",1.30360340490197,1.24533398998948,1.36117885372348,"White British","RII","LLTI"
"60-74",0.824480677509808,0.774879843665175,0.873798441859094,"White British","RII","LLTI"
"75",0.22892554690041,0.180964388687682,0.276840095210176,"White British","RII","LLTI"
"0-64",1.26815835962603,1.22881445631758,1.30843302664947,"White British","RII","LLTI"
"all",0.834970285062545,0.807095469019769,0.862870189698188,"White British","RII","LLTI"
"0-14",0.286608485385609,-0.77261231529141,1.26708202715113,"Caribbean","RII","LLTI"
"15-29",0.608378965953369,0.0144751786693369,1.15238666214685,"Caribbean","RII","LLTI"
"30-44",0.908020758617161,0.404958059724894,1.35155541967038,"Caribbean","RII","LLTI"
"45-59",0.636029974756712,0.0770749682886099,1.17022389812323,"Caribbean","RII","LLTI"
"60-74",0.115043447146468,-0.654262488899976,0.79912087207495,"Caribbean","RII","LLTI"
"75",0.308342563487702,-0.638911312214683,1.25717775608204,"Caribbean","RII","LLTI"
"0-64",0.640537454567404,0.304036479896428,0.993052554296452,"Caribbean","RII","LLTI"
"all",0.451010611501315,0.0693238724542305,0.834323358327305,"Caribbean","RII","LLTI"
"0-14",0.369178791865765,0.00850268329242957,0.754221201256367,"Other White","RII","LLTI"
"15-29",0.522755968827547,0.306192538579729,0.73382869017949,"Other White","RII","LLTI"
"30-44",1.16770140650313,1.01443773619108,1.32278902068015,"Other White","RII","LLTI"
"45-59",1.02109905783736,0.860394999119607,1.16875260814179,"Other White","RII","LLTI"
"60-74",0.868690193445565,0.710301863837025,1.0291042093852,"Other White","RII","LLTI"
"75",0.223981309201513,0.050334008679779,0.404116568219646,"Other White","RII","LLTI"
"0-64",0.968585164011168,0.866670109390262,1.0751183367237,"Other White","RII","LLTI"
"all",0.675820421003325,0.591507411279487,0.761773426183709,"Other White","RII","LLTI"
"0-14",-0.115484866211839,-0.580926718089258,0.345022665123733,"White Polish","RII","LLTI"
"15-29",-0.392450807021933,-0.80985693388607,0.00905468945406935,"White Polish","RII","LLTI"
"30-44",0.0418015264996093,-0.249267396272692,0.336039468624975,"White Polish","RII","LLTI"
"45-59",0.41905590183102,0.121944685526725,0.690976364849976,"White Polish","RII","LLTI"
"60-74",0.312266448630877,-0.16245076951012,0.767780023925168,"White Polish","RII","LLTI"
"75",-0.0746039930146787,-0.482762928747921,0.35615789611361,"White Polish","RII","LLTI"
"0-64",0.284953664690434,0.101571429806572,0.47428571835052,"White Polish","RII","LLTI"
"all",0.0654672167001777,-0.167649899136122,0.308367313380907,"White Polish","RII","LLTI"
"0-14",0.895597237461404,0.857987240082174,0.930139587691133,"White Scottish","RII","LLTI"
