"ses","age","rate","CI_low","CI_high","ethnicity","outcome"
"1","0-14",6.9355195516602,0.85638033402045,13.0146587693,"African","poor GH"
"1","15-29",3.01249813274909,-0.396401778200885,6.42139804369907,"African","poor GH"
"1","30-44",8.07702927732359,3.30389770945232,12.8501608451949,"African","poor GH"
"1","45-59",39.8944248762944,16.3187595888451,63.4700901637438,"African","poor GH"
"1","60-74",47.8468899521531,9.56210784405654,86.1316720602497,"African","poor GH"
"1","75",211.111111111111,4.22602385410545,417.996198368117,"African","poor GH"
"2","0-14",3.15946691176471,-1.21925036415626,7.53818418768568,"African","poor GH"
"2","15-29",3.30318557353189,0.0661231943444971,6.54024795271927,"African","poor GH"
"2","30-44",15.830219428861,8.30514906559911,23.3552897921229,"African","poor GH"
"2","45-59",68.2928822493605,32.5195401784585,104.066224320262,"African","poor GH"
"2","60-74",78.9738820429357,15.7827766384296,142.164987447442,"African","poor GH"
"2","75",398.989898989899,79.7373548551604,718.242443124637,"African","poor GH"
"3","0-14",5.80292630057803,0.116163023541436,11.4896895776146,"African","poor GH"
"3","15-29",4.77316134746865,1.23721891239795,8.30910378253935,"African","poor GH"
"3","30-44",14.6962303980065,8.08812072130035,21.3043400747128,"African","poor GH"
"3","45-59",48.5556165732465,22.1609677498284,74.9502653966646,"African","poor GH"
"3","60-74",136.652236652237,55.8974093277602,217.407063976713,"African","poor GH"
"3","75",123.809523809524,-16.2915670760975,263.910614695145,"African","poor GH"
"4","0-14",1.44867549668874,-0.559049414413854,3.45640040779134,"African","poor GH"
"4","15-29",2.25815001325205,0.278830626633323,4.23746939987079,"African","poor GH"
"4","30-44",17.2218921820507,11.05923045488,23.3845539092214,"African","poor GH"
"4","45-59",55.181145712545,32.1228362235123,78.2394552015776,"African","poor GH"
"4","60-74",116.827364554637,44.4183443664391,189.236384742835,"African","poor GH"
"4","75",31.7460317460317,-30.4750471282557,93.9671106203192,"African","poor GH"
"5","0-14",7.13002609103794,4.38938265752836,9.87066952454751,"African","poor GH"
"5","15-29",7.55718171613882,4.75801387177012,10.3563495605075,"African","poor GH"
"5","30-44",25.4031249209495,20.6984867968358,30.1077630450631,"African","poor GH"
"5","45-59",68.7163193471015,52.1381713420876,85.2944673521154,"African","poor GH"
"5","60-74",184.281842818428,110.555105241156,258.0085803957,"African","poor GH"
"5","75",373.256373256373,141.913927336056,604.598819176691,"African","poor GH"
"overall","0-14",5.67716743828924,3.89541447117795,7.45892040540054,"African","poor GH"
"overall","15-29",5.0263435690505,3.58936155296597,6.46332558513504,"African","poor GH"
"overall","30-44",19.043152872186,16.3282390867168,21.7580666576552,"African","poor GH"
"overall","45-59",59.5941615218059,49.1885757792882,69.9997472643235,"African","poor GH"
"overall","60-74",117.609801188114,87.0778767420976,148.14172563413,"African","poor GH"
"overall","75",228.968253968254,137.363556969014,320.572950967494,"African","poor GH"
"1","0-64",20.787796643137,13.9009164399859,27.674676846288,"African","poor GH"
"2","0-64",27.6296291969524,19.0672757366083,36.1919826572965,"African","poor GH"
"3","0-64",24.6872760445509,17.5531242052708,31.8214278838311,"African","poor GH"
"4","0-64",23.2823781029922,17.4870292429892,29.0777269629951,"African","poor GH"
"5","0-64",33.239499440796,29.0254112938499,37.4535875877422,"African","poor GH"
"overall","0-64",27.8973202826985,25.2356493977621,30.558991167635,"African","poor GH"
"1","all",38.3657552450937,26.4763029893328,50.2552075008545,"African","poor GH"
"2","all",67.2685894714611,48.4337305207648,86.1034484221574,"African","poor GH"
"3","all",48.4208762634826,35.8506438444861,60.991108682479,"African","poor GH"
"4","all",37.6032451088394,28.7942900042829,46.4122002133959,"African","poor GH"
"5","all",85.7573747079551,75.4516449450952,96.0631044708149,"African","poor GH"
"overall","all",57.9213664186601,52.7504993805226,63.0922334567977,"African","poor GH"
"1","0-14",5.60800647263942,2.13219191976568,9.08382102551316,"Indian","poor GH"
"1","15-29",3.50857423649475,1.07730101030834,5.93984746268116,"Indian","poor GH"
"1","30-44",9.55508025128929,5.65010296614462,13.460057536434,"Indian","poor GH"
"1","45-59",34.7588599666666,23.7073449896508,45.8103749436825,"Indian","poor GH"
"1","60-74",79.1791005075238,56.2978508913685,102.060350123679,"Indian","poor GH"
"1","75",218.467822161004,150.765186714111,286.170457607897,"Indian","poor GH"
"2","0-14",0,NA,NA,"Indian","poor GH"
"2","15-29",2.91734766033627,1.01138221212251,4.82331310855002,"Indian","poor GH"
"2","30-44",18.1792369749173,11.445677099458,24.9127968503767,"Indian","poor GH"
"2","45-59",71.3898649035948,52.3489517930895,90.4307780141002,"Indian","poor GH"
